  Nelder-Mead direct search function minimizer
function value for initial parameters = 186281.910279
  Scaled convergence tolerance is 0.00277582
Stepsize computed as 0.299573
REFLECTION       281 66158.270810 66042.271386
LO-REDUCTION     283 66152.472849 66042.271386
REFLECTION       285 66144.973232 66021.921165
LO-REDUCTION     287 66132.230206 66021.921165
REFLECTION       289 66114.359131 66009.829724
LO-REDUCTION     291 66108.698519 66009.829724
LO-REDUCTION     293 66101.995217 66009.829724
REFLECTION       295 66088.780373 66000.837967
REFLECTION       297 66066.022299 65992.559201
LO-REDUCTION     299 66064.668805 65992.559201
LO-REDUCTION     301 66054.721946 65992.559201
LO-REDUCTION     303 66051.694858 65992.559201
LO-REDUCTION     305 66049.110312 65992.559201
LO-REDUCTION     307 66045.281354 65992.559201
HI-REDUCTION     309 66044.194286 65992.559201
REFLECTION       311 66042.271386 65988.104488
EXTENSION        313 66040.107956 65956.504836
LO-REDUCTION     315 66036.909207 65956.504836
LO-REDUCTION     317 66026.900208 65956.504836
LO-REDUCTION     319 66023.458785 65956.504836
LO-REDUCTION     321 66021.921165 65956.504836
LO-REDUCTION     323 66015.104215 65956.504836
EXTENSION        325 66011.154662 65923.680699
LO-REDUCTION     327 66009.829724 65923.680699
LO-REDUCTION     329 66004.912693 65923.680699
LO-REDUCTION     331 66000.837967 65923.680699
LO-REDUCTION     333 65994.053899 65923.680699
LO-REDUCTION     335 65993.083692 65923.680699
LO-REDUCTION     337 65992.559201 65923.680699
EXTENSION        339 65988.104488 65889.048138
LO-REDUCTION     341 65979.248841 65889.048138
LO-REDUCTION     343 65969.370621 65889.048138
LO-REDUCTION     345 65961.538778 65889.048138
LO-REDUCTION     347 65959.942167 65889.048138
LO-REDUCTION     349 65959.131228 65889.048138
EXTENSION        351 65957.402555 65877.301785
LO-REDUCTION     353 65956.504836 65877.301785
LO-REDUCTION     355 65951.349867 65877.301785
REFLECTION       357 65937.360809 65870.250690
EXTENSION        359 65936.355697 65864.532497
EXTENSION        361 65933.617170 65855.173242
LO-REDUCTION     363 65928.597722 65855.173242
EXTENSION        365 65923.680699 65845.550392
LO-REDUCTION     367 65914.533334 65845.550392
REFLECTION       369 65913.771662 65836.372228
REFLECTION       371 65898.788720 65835.703056
LO-REDUCTION     373 65897.339576 65835.703056
LO-REDUCTION     375 65894.796054 65835.703056
LO-REDUCTION     377 65891.325501 65835.703056
REFLECTION       379 65889.048138 65830.938098
LO-REDUCTION     381 65877.782615 65830.938098
LO-REDUCTION     383 65877.301785 65830.938098
LO-REDUCTION     385 65873.821134 65830.938098
REFLECTION       387 65870.250690 65826.640999
LO-REDUCTION     389 65864.532497 65826.640999
REFLECTION       391 65855.173242 65822.911334
LO-REDUCTION     393 65853.875495 65822.911334
HI-REDUCTION     395 65845.550392 65822.911334
LO-REDUCTION     397 65844.026639 65822.911334
REFLECTION       399 65842.387673 65822.056884
EXTENSION        401 65841.187491 65816.030465
LO-REDUCTION     403 65839.690135 65816.030465
LO-REDUCTION     405 65836.372228 65816.030465
LO-REDUCTION     407 65836.002382 65816.030465
LO-REDUCTION     409 65835.703056 65816.030465
LO-REDUCTION     411 65835.271584 65816.030465
LO-REDUCTION     413 65834.921657 65816.030465
REFLECTION       415 65834.813770 65814.256278
LO-REDUCTION     417 65834.535665 65814.256278
LO-REDUCTION     419 65833.875305 65814.256278
LO-REDUCTION     421 65830.938098 65814.256278
REFLECTION       423 65826.640999 65811.220130
LO-REDUCTION     425 65826.221296 65811.220130
EXTENSION        427 65822.911334 65797.168889
LO-REDUCTION     429 65822.723394 65797.168889
